,,,,Tickets
08-10-2026,Kuudes Linja,Helsinki,FI,https://www.tiketti.fi/tapahtuma/118502
09-10-2026,Skanu Mezs Festival,Riga,LV,https://www.bilesuserviss.lv/biletes/BFJJFA5SBW/festivals-skanu-mezs-2026
10-10-2026,Sodas 2123,Vilnius,LT,https://tickets.paysera.com/lt/event/krallice-us-sodas2123-10-10
11-10-2026,Hydrozagadka,Warsaw,PL,
13-10-2026,Berghain,Berlin,DE,https://disk.stager.co/shop/default/events/111662311?utm_campaign=Krallice+Artist&utm_source=Tour+Announcement&utm_medium=Listing
14-10-2026,P8,Karlsruhe,DE,https://tickets.p-acht.org/krall/
15-10-2026,De Helling,Utrecht,NL,https://dehelling.stager.co/shop/default/events/111630987
16-10-2026,Desertfest Antwerp,Antwerp,BE,https://desertfest.be/information/ticketing
17-10-2026,Die Trompete,Bochum,DE,https://dietrompete.ticket.io/FeMiJGED
19-10-2026,Kollektivet Livet,Stockholm,SE,https://www.nortic.se/ticket/event/82965
21-10-2026,Vega,Copenhagen,DK,https://www.billetlugen.dk/event/21697829/?affiliate=VGA
22-10-2026,Headquarters,Aarhus,DK,https://www.yourticket.dk/?ytroute=/arrangementer/58992/hul-praesenterer-krallice-us-support-oxx/
23-10-2026,MS Stubnitz,Hamburg,DE,https://stubnitz.stager.co/shop/default/events/111598746?utm_campaign=kd_ag
24-10-2026,Bells Echo @ Eva refo Church,Leipzig,DE,https://www.tixforgigs.com/Event/74505
25-10-2026,Fuchs2,Prague,CZ,https://www.heartnoize.cz/buy-tickets/krallice-prague-2026-tickets
26-10-2026,Hansa39,Munich,DE,https://www.eventim.de/event/krallice-feierwerk-21697549/
28-10-2026,Arena,Vienna,AT,https://tickets.arena.wien/at/Events/69730
29-10-2026,Dürer Kert,Budapest,HU,www.tixa.hu/krallice-budapest
30-10-2026,Cukrarna,Ljubljana,SL,https://www.on-parole.com/en/home/11449-krallice-ljubljana-30-october-2026-ticket.html
31-10-2026,Schlachthaus,Dornbirn,AT,
01-11-2026,Valhalla,Basel,CH,
03-11-2026,Le Chinois,Paris,FR,https://ypl.me/RuQ
04-11-2026,La Malterie,Lille,FR,https://ypl.me/RuS
05-11-2026,Strange Brew,Bristol,UK,https://oldempire.seetickets.com/event/krallice/bristol-strange-brew/3644219
06-11-2026,Downstairs @ The Dome ,London,UK,https://oldempire.seetickets.com/event/krallice/the-underworld/3644422
07-11-2026,Damnation Fest,Manchester,UK,https://www.damnationfestival.co.uk/tickets
